"Location","Theatre","Movie","Movie_Rating","Star_Rating","Show_Times","Movie_Format","Synopsis","Date","Searched_City"
"2021 Silver Springs Blvd, Ocala, FL 34471","Ocala Center 6","Replicas","PG-13","3.5","1:00p | 4:00p","Standard","William Foster is a brilliant neuroscientist who loses his wife, son and two daughters in a tragic car accident. Utilizing cutting-edge technology, William comes up with a daring and unprecedented plan to download their memories and clone their bodies. As the experiment begins to spiral out of control, Foster soon finds himself at odds with his dubious boss, a reluctant accomplice, a police task force and the physical laws of science.","2019-01-23","Belleview, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","Holmes & Watson","PG-13","2","10:00a | 5:30p | 8:15p | 10:25p","Standard","A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.","2019-01-23","The Villages, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","Creed II","PG-13","4.5","1:35p | 3:10p | 7:15p | 9:20p","Standard","Life has become a balancing act for Adonis Creed. Between personal obligations and training for his next big fight, he is up against the challenge of his life. Facing an opponent with ties to his family's past only intensifies his impending battle in the ring. Rocky Balboa is there by his side through it all and, together, Rocky and Adonis will confront their shared legacy, question what's worth fighting for, and discover that nothing's more important than family. Creed II is about going back to basics to rediscover what made you a champion in the first place, and remembering that, no matter where you go, you can't escape your history.","2019-01-23","Gainesville, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Spider-Man: Into the Spider-Verse","PG","5","9:35a | 12:15p | 3:00p | 6:45p | 9:30p","Standard","Spider-Man mentors a teenager from Brooklyn, N.Y., to become the next web-slinging superhero.","2019-01-23","The Villages, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Celebration Pointe 10","The Upside","PG-13","4.5","3:35p | 7:15p | 10:20p","Standard","Phillip is a wealthy quadriplegic who needs a caretaker to help him with his day-to-day routine in his New York penthouse. He decides to hire Dell, a struggling parolee who's trying to reconnect with his ex and his young son. Despite coming from two different worlds, an unlikely friendship starts to blossom as Dell and Phillip rediscover the joy of living life to the fullest.","2019-01-23","Gainesville, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Aquaman","PG-13","4.5","9:30a | 12:35p | 3:40p | 5:45p | 7:30p | 9:00p","Standard","Aquaman finds himself caught between a surface world that ravages the sea and the underwater Atlanteans who are ready to revolt.","2019-01-23","The Villages, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","Ralph Breaks the Internet","PG","4.5","2:05p","Standard","Ralph and Vanellope embark on an adventure inside the internet to find a spare part to fix a video game.","2019-01-23","Belleview, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","Cyrano de Bergerac presented by Comédie-Française","PG","3","7:00p","Standard","From award-winning director, stage and cinema actor Denis Podalydès, this classic tale of hijinx comes to cinemas nationwide from the renowned Comédie-Française stage on January 23 only. Cyrano de Bergerac, despite a deformed and enormous nose, proves to be a talented swordsman and a man of great wit. In a local pastry shop, the precious Roxane, with whom Cyrano is secretly in love, reveals to him that she loves a young nobleman named Christian. Blessed with all of life’s gifts except for romantic eloquence, Christian asks Cyrano to help him woo Roxane, secretly prompting him with romantic turns of phrase. She becomes enamored, but at the siege of Arras, Christian dies and asks Cyrano to reveal the truth to Roxane. Opera buffa, tragedy, romantic drama, symbolist poetry, slapstick comedy… all genres are called upon to give life to this staging of one of the most emblematic texts of the French repertoire!","2019-01-23","Ocala, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Cyrano de Bergerac presented by Comédie-Française","PG","3","7:00p","Standard","From award-winning director, stage and cinema actor Denis Podalydès, this classic tale of hijinx comes to cinemas nationwide from the renowned Comédie-Française stage on January 23 only. Cyrano de Bergerac, despite a deformed and enormous nose, proves to be a talented swordsman and a man of great wit. In a local pastry shop, the precious Roxane, with whom Cyrano is secretly in love, reveals to him that she loves a young nobleman named Christian. Blessed with all of life’s gifts except for romantic eloquence, Christian asks Cyrano to help him woo Roxane, secretly prompting him with romantic turns of phrase. She becomes enamored, but at the siege of Arras, Christian dies and asks Cyrano to reveal the truth to Roxane. Opera buffa, tragedy, romantic drama, symbolist poetry, slapstick comedy… all genres are called upon to give life to this staging of one of the most emblematic texts of the French repertoire!","2019-01-23","High Springs, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","Glass (2019)","PG-13","4","4:00p | 7:30p | 10:30p","Standard","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.","2019-01-23","Ocala, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","Vice (2018)","R","3.5","3:40p | 10:20p","Standard","Gov. George W. Bush of Texas picks Dick Cheney, the CEO of Halliburton Co., to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney's impressive résumé includes stints as White House chief of staff, House Minority Whip and defense secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.","2019-01-23","Ocala, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Second Act","PG-13","4","9:30a | 12:00p | 2:30p | 5:00p | 9:00p","Standard","Second Act is a comedy in the vein of Working Girl and Maid In Manhattan. Jennifer Lopez stars as Maya, a 40-year-old woman struggling with frustrations from unfulfilled dreams. Until, that is, she gets the chance to prove to Madison Avenue that street smarts are as valuable as book smarts, and that it is never too late for a Second Act.","2019-01-23","The Villages, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Spider-Man: Into the Spider-Verse","PG","5","4:20p | 7:25p | 10:10p","Standard","Spider-Man mentors a teenager from Brooklyn, N.Y., to become the next web-slinging superhero.","2019-01-23","High Springs, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","Green Book","PG-13","5","8:45a | 11:35a | 2:30p | 5:20p | 8:10p","Standard","Dr. Don Shirley is a world-class African-American pianist who's about to embark on a concert tour in the Deep South in 1962. In need of a driver and protection, Shirley recruits Tony Lip, a tough-talking bouncer from an Italian-American neighborhood in the Bronx. Despite their differences, the two men soon develop an unexpected bond while confronting racism and danger in an era of segregation.","2019-01-23","The Villages, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Replicas","PG-13","3.5","2:40p | 8:15p","Standard","William Foster is a brilliant neuroscientist who loses his wife, son and two daughters in a tragic car accident. Utilizing cutting-edge technology, William comes up with a daring and unprecedented plan to download their memories and clone their bodies. As the experiment begins to spiral out of control, Foster soon finds himself at odds with his dubious boss, a reluctant accomplice, a police task force and the physical laws of science.","2019-01-23","High Springs, FL"
"2021 Silver Springs Blvd, Ocala, FL 34471","Ocala Center 6","Glass (2019)","PG-13","4","1:00p | 4:00p | 7:00p | 7:15p","Standard","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.","2019-01-23","Ocala, FL"
"10845 SE US Highway 441, Belleview, FL 34420","Belleview Cinemas","Spider-Man: Into the Spider-Verse","PG","5","1:00p | 4:00p | 7:00p","Standard","Spider-Man mentors a teenager from Brooklyn, N.Y., to become the next web-slinging superhero.","2019-01-23","Belleview, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","Ben is Back","R","4","4:50p | 7:55p | 10:40p","Standard","19 year-old Ben Burns (Lucas Hedges) unexpectedly returns home to his family's suburban home on Christmas Eve morning. Ben’s mother, Holly (Julia Roberts), is relieved and welcoming but wary of her son staying clean. Over a turbulent 24 hours, new truths are revealed, and a mother's undying love for her son is tested as she does everything in her power to keep him safe. Ben is Back also stars Courtney B. Vance (The People V. O.J. Simpson: American Crime Story) and Kathryn Newton.","2019-01-23","Ocala, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","The Upside","PG-13","4.5","4:15p | 7:15p | 10:15p","Standard","Phillip is a wealthy quadriplegic who needs a caretaker to help him with his day-to-day routine in his New York penthouse. He decides to hire Dell, a struggling parolee who's trying to reconnect with his ex and his young son. Despite coming from two different worlds, an unlikely friendship starts to blossom as Dell and Phillip rediscover the joy of living life to the fullest.","2019-01-23","Gainesville, FL"
"2830 Hwy 90 West, Lake City, FL 32055","UA Cinema 90 6","Dragon Ball Super: Broly","PG","5","7:30p","Standard","A planet destroyed, a powerful race reduced to nothing. After the devastation of Planet Vegeta, three Saiyans were scattered among the stars, destined for different fates. While two found a home on Earth, the third was raised with a burning desire for vengeance and developed an unbelievable power. And the time for revenge has come. Destinies collide in a battle that will shake the universe to its very core! Goku is back to training hard so he can face the most powerful foes the universes have to offer, and Vegeta is keeping up right beside him. But when they suddenly find themselves against an unknown Saiyan, they discover a terrible, destructive force. Locked into battle with the formidable Broly, Goku and Vegeta face their most dangerous opponent yet!","2019-01-23","Lake City, FL"
"2021 Silver Springs Blvd, Ocala, FL 34471","Ocala Center 6","A Dog's Way Home","PG","4.5","1:00p | 4:00p | 7:00p","Standard","As a puppy, Bella finds her way into the arms of Lucas, a young man who gives her a good home. When Bella becomes separated from Lucas, she soon finds herself on an epic 400-mile journey to reunite with her beloved owner. Along the way, the lost but spirited dog touches the lives of an orphaned mountain lion, a down-on-his-luck veteran and some friendly strangers who happen to cross her path.","2019-01-23","Belleview, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Bumblebee","PG-13","4.5","10:00a | 12:45p | 3:30p | 6:15p | 9:00p","Standard","On the run in the year 1987, Bumblebee the Autobot seeks refuge in a junkyard in a small California beach town. Charlie, on the brink of turning 18 years old and trying to find her place in the world, soon discovers the battle-scarred and broken Bumblebee. When Charlie revives him, she quickly learns that this is no ordinary yellow Volkswagen.","2019-01-23","The Villages, FL"
