"Location","Theatre","Movie","Movie_Rating","Star_Rating","Show_Times","Movie_Format","Synopsis","Date","Searched_City"
"4901 SW 31st Place, Gainesville, FL 32608","Celebration Pointe 10","Bohemian Rhapsody","PG-13","5","12:05p | 3:50p | 7:25p | 10:40p","Standard","Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Surrounded by darker influences, Mercury decides to leave Queen years later to pursue a solo career. Diagnosed with AIDS in the 1980s, the flamboyant frontman reunites with the group for the benefit concert Live Aid -- leading the band in one of the greatest performances in rock history.","2018-11-29","Gainesville, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","Beautiful Boy (2018)","R","4.5","4:45p","Standard","Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse, and recovery in a family coping with addiction over many years.","2018-11-29","High Springs, FL"
"2021 Silver Springs Blvd, Ocala, FL 34471","Ocala Center 6","Ralph Breaks the Internet","PG","4.5","1:00p | 4:00p | 7:00p","Standard","Ralph and Vanellope embark on an adventure inside the internet to find a spare part to fix a video game.","2018-11-29","Belleview, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","The Clovehitch Killer","","5","10:45p","Standard","A shocking revelation turns a teenage boy's world upside down in this chilling look at the evil that can lurk below even the most wholesome surface. Tyler Burnside (Charlie Plummer) is a Boy Scout, a volunteer at his local church, and the dutiful son of an upstanding, community leader dad (Dylan McDermott). Only one thing troubles the quiet Kentucky town he lives in: the unsolved murders—in which ten women were brutally tortured and killed by a psychopath known as Clovehitch—that rocked the community more than a decade ago. When Tyler discovers a cache of disturbing images in his father's possession, he begins to suspect that the man he trusts most in the world may be Clovehitch—and that his deadly rampage may not be over. With unrelenting tension, director Duncan Skiles crafts a picture-perfect vision of the all-American family—and then piece by piece rips it to shreds.","2018-11-29","The Villages, FL"
"2021 Silver Springs Blvd, Ocala, FL 34471","Ocala Center 6","Dr. Seuss' The Grinch (2018)","PG","4.5","1:00p | 4:00p | 7:00p","Standard","Academy Award® nominee Benedict Cumberbatch lends his voice to the infamous Grinch, who lives a solitary life inside a cave on Mt. Crumpet with only his loyal dog, Max, for company. With a cave rigged with inventions and contraptions for his day-to-day needs, the Grinch only sees his neighbors in Who-ville when he runs out of food. Each year at Christmas they disrupt his tranquil solitude with their increasingly bigger, brighter and louder celebrations. When the Whos declare they are going to make Christmas three times bigger this year, the Grinch realizes there is only one way for him to gain some peace and quiet: he must steal Christmas. To do so, he decides he will pose as Santa Claus on Christmas Eve, even going so far as to trap a lackadaisical misfit reindeer to pull his sleigh.","2018-11-29","Belleview, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","Ralph Breaks the Internet","PG","4.5","4:00p","Digital 3D","Ralph and Vanellope embark on an adventure inside the internet to find a spare part to fix a video game.","2018-11-29","The Villages, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Widows (2018)","R","4","12:20p | 3:40p | 10:30p","Standard","""Widows"" is the story of four women with nothing in common except a debt left behind by their dead husbands' criminal activities. Set in contemporary Chicago, amid a time of turmoil, tensions build when Veronica (Oscar® winner Viola Davis), Linda (Michelle Rodriguez), Alice (Elizabeth Debicki) and Belle (Cynthia Erivo) take their fate into their own hands and conspire to forge a future on their own terms. ""Widows"" also stars Liam Neeson, Colin Farrell, Robert Duvall, Daniel Kaluuya, Lukas Haas and Brian Tyree Henry.","2018-11-29","High Springs, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","The Mercy","","","6:30p","Standard","","2018-11-29","The Villages, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Ralph Breaks the Internet","PG","4.5","12:35p | 6:50p | 9:40p","Standard","Ralph and Vanellope embark on an adventure inside the internet to find a spare part to fix a video game.","2018-11-29","High Springs, FL"
"2021 Silver Springs Blvd, Ocala, FL 34471","Ocala Center 6","Widows (2018)","R","4","1:00p | 4:00p | 7:00p","Standard","""Widows"" is the story of four women with nothing in common except a debt left behind by their dead husbands' criminal activities. Set in contemporary Chicago, amid a time of turmoil, tensions build when Veronica (Oscar® winner Viola Davis), Linda (Michelle Rodriguez), Alice (Elizabeth Debicki) and Belle (Cynthia Erivo) take their fate into their own hands and conspire to forge a future on their own terms. ""Widows"" also stars Liam Neeson, Colin Farrell, Robert Duvall, Daniel Kaluuya, Lukas Haas and Brian Tyree Henry.","2018-11-29","Ocala, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","Mirai (Premiere Event)","PG","","7:00p | 8:00p","Standard","Fathom Events and GKIDS bring MIRAI, a daringly original story of love passed down through generations from acclaimed director Mamoru Hosoda and Japan’s Studio Chizu, to select theaters on November 29, December 5 and 8. When four-year-old Kun meets his new baby sister, his world is turned upside down. Named Mirai (meaning “future”), the baby quickly wins the hearts of Kun’s entire family. As his mother returns to work, and his father struggles to run the household, Kun becomes increasingly jealous of baby Mirai... until one day he storms off into the garden, where he encounters strange guests from the past and future – including his sister Mirai, as a teenager. Together, Kun and teenage Mirai go on a journey through time and space, uncovering their family’s incredible story. The epic capstone of director Mamoru Hosoda’s career, Mirai is a sumptuous, magical, and emotionally soaring adventure about the ties that bring families together and make us who we are.","2018-11-29","Ocala, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Can You Ever Forgive Me?","R","4","9:35a | 12:05p | 2:35p | 5:05p | 7:35p","Standard","Celebrity biographer Lee Israel makes her living profiling the likes of Katharine Hepburn, Tallulah Bankhead, Estee Lauder and journalist Dorothy Kilgallen. When Lee is no longer able to get published because she has fallen out of step with current tastes, she turns her art form to deception, abetted by her loyal friend Jack.","2018-11-29","Belleview, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","The King And I: From The London Palladium","","","7:00p","Standard","The multi-award winning and critically acclaimed Lincoln Center Theater’s production of Rodgers and Hammerstein’s The King And I comes to cinemas in this unmissable event recorded live from London’s iconic Palladium. Reprising her Tony Award-winning role, ‘Broadway musical’s undisputed Queen’ (The Sunday Times) Kelli O’Hara (Anna) takes to the stage alongside Tony and Oscar nominee Ken Watanabe (The King) in a ""powerhouse"" (The Times) performance. Also returning to her Tony Award winning role as Lady Thiang is Ruthie Ann Miles. Set in 1860s Bangkok, the musical tells the story of the unconventional and tempestuous relationship that develops between the King of Siam and Anna, a British schoolteacher whom the modernist King, in an imperialistic world, brings to Siam to teach his many wives and children.","2018-11-29","Ocala, FL"
"25 SE 2nd Place Street, Gainesville, FL 32601","Hippodrome State Theatre","","","","","","","2018-11-29","Gainesville, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Celebration Pointe 10","Robin Hood (2018)","PG-13","4","12:45p | 4:00p | 10:15p","Standard","A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown in a thrilling action-adventure packed with gritty battlefield exploits, mind-blowing fight choreography, and a timeless romance.","2018-11-29","Gainesville, FL"
"10401-015 US Hwy. 441 South, Leesburg, FL 34788","AMC Lake Square 12","Dr. Seuss' The Grinch (2018)","PG","4.5","11:30a | 1:15p | 4:45p | 6:30p","Standard","Academy Award® nominee Benedict Cumberbatch lends his voice to the infamous Grinch, who lives a solitary life inside a cave on Mt. Crumpet with only his loyal dog, Max, for company. With a cave rigged with inventions and contraptions for his day-to-day needs, the Grinch only sees his neighbors in Who-ville when he runs out of food. Each year at Christmas they disrupt his tranquil solitude with their increasingly bigger, brighter and louder celebrations. When the Whos declare they are going to make Christmas three times bigger this year, the Grinch realizes there is only one way for him to gain some peace and quiet: he must steal Christmas. To do so, he decides he will pose as Santa Claus on Christmas Eve, even going so far as to trap a lackadaisical misfit reindeer to pull his sleigh.","2018-11-29","The Villages, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","The Girl in the Spider's Web","R","4","10:45a | 12:00p | 2:40p | 7:45p | 9:35p","Standard","Fired from the National Security Agency, Frans Balder recruits hacker Lisbeth Salander to steal FireWall, a computer program that can access codes for nuclear weapons worldwide. The download soon draws attention from an NSA agent who traces the activity to Stockholm. Further problems arise when Russian thugs take Lisbeth's laptop and kidnap a math whiz who can make FireWall work. Now, Lisbeth and an unlikely ally must race against time to save the boy and recover the codes to avert disaster.","2018-11-29","The Villages, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","Creed II","PG-13","4.5","1:00p | 4:10p | 7:10p | 10:15p","Standard","Life has become a balancing act for Adonis Creed. Between personal obligations and training for his next big fight, he is up against the challenge of his life. Facing an opponent with ties to his family's past only intensifies his impending battle in the ring. Rocky Balboa is there by his side through it all and, together, Rocky and Adonis will confront their shared legacy, question what's worth fighting for, and discover that nothing's more important than family. Creed II is about going back to basics to rediscover what made you a champion in the first place, and remembering that, no matter where you go, you can't escape your history.","2018-11-29","Gainesville, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","The Nutcracker and the Four Realms","PG","4","1:40p | 4:25p | 6:55p | 9:30p","Standard","Young Clara needs a magical, one-of-a-kind key to unlock a box that contains a priceless gift. A golden thread leads her to the coveted key, but it soon disappears into a strange and mysterious parallel world. In that world, she meets a soldier named Phillip, a group of mice and the regents who preside over three realms. Clara and Phillip must now enter a fourth realm to retrieve the key and restore harmony to the unstable land.","2018-11-29","High Springs, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Ralph Breaks the Internet","PG","4.5","3:50p","Digital 3D","Ralph and Vanellope embark on an adventure inside the internet to find a spare part to fix a video game.","2018-11-29","High Springs, FL"
"10401-015 US Hwy. 441 South, Leesburg, FL 34788","AMC Lake Square 12","Ralph Breaks the Internet","PG","4.5","11:45a | 2:30p | 5:15p | 8:00p","Digital 3D","Ralph and Vanellope embark on an adventure inside the internet to find a spare part to fix a video game.","2018-11-29","The Villages, FL"
