"Location","Theatre","Movie","Movie_Rating","Star_Rating","Show_Times","Movie_Format","Synopsis","Date","Searched_City"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center","Avengers: Endgame (2019)","PG-13","5","11:45a | 2:30p | 6:45p | 9:35p","Standard","Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply starts to dwindle. Meanwhile, the remaining Avengers -- Thor, Black Widow, Captain America and Bruce Banner -- must figure out a way to bring back their vanquished allies for an epic showdown with Thanos -- the evil demigod who decimated the planet and the universe.","2019-06-23","Gainesville, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park","Godzilla: King of the Monsters (2019)","PG-13","4","12:10p | 6:00p","Standard","The new story follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species—thought to be mere myths—rise again, they all vie for supremacy, leaving humanity’s very existence hanging in the balance.","2019-06-22","Gainesville, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park","Toy Story 4","G","5","11:30a | 12:00p | 1:00p | 1:30p | 2:00p | 2:30p | 3:35p | 4:05p | 4:35p | 5:10p | 6:10p | 6:40p | 7:10p | 7:40p | 8:50p | 9:50p","Standard","Woody, Buzz Lightyear and the rest of the gang embark on a road trip with Bonnie and a new toy named Forky. The adventurous journey turns into an unexpected reunion as Woody's slight detour leads him to his long-lost friend Bo Peep. As Woody and Bo discuss the old days, they soon start to realize that they're worlds apart when it comes to what they want from life as a toy.","2019-06-23","High Springs, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center","Toy Story 4","G","5","11:00a | 1:30p | 4:00p | 7:00p | 10:00p","Digital 3D","Woody, Buzz Lightyear and the rest of the gang embark on a road trip with Bonnie and a new toy named Forky. The adventurous journey turns into an unexpected reunion as Woody's slight detour leads him to his long-lost friend Bo Peep. As Woody and Bo discuss the old days, they soon start to realize that they're worlds apart when it comes to what they want from life as a toy.","2019-06-21","High Springs, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park","Dark Phoenix","PG-13","3.5","1:20p | 4:20p | 7:20p | 10:00p","Standard","This is the story of one of the X-Men's most beloved characters, Jean Grey, as she evolves into the iconic DARK PHOENIX. During a life-threatening rescue mission in space, Jean is hit by a cosmic force that transforms her into one of the most powerful mutants of all. Wrestling with this increasingly unstable power as well as her own personal demons, Jean spirals out of control, tearing the X-Men family apart and threatening to destroy the very fabric of our planet. The film is the most intense and emotional X-Men movie ever made. It is the culmination of 20 years of X-Men movies, as the family of mutants that we've come to know and love must face their most devastating enemy yet -- one of their own.","2019-06-21","High Springs, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","","","","","","","2019-06-22","Belleview, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park","Avengers: Endgame (2019)","PG-13","5","12:50p | 4:45p | 8:40p","Standard","Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply starts to dwindle. Meanwhile, the remaining Avengers -- Thor, Black Widow, Captain America and Bruce Banner -- must figure out a way to bring back their vanquished allies for an epic showdown with Thanos -- the evil demigod who decimated the planet and the universe.","2019-06-23","High Springs, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Dark Phoenix","PG-13","3.5","12:35p | 3:40p | 7:00p | 10:55p","Standard","This is the story of one of the X-Men's most beloved characters, Jean Grey, as she evolves into the iconic DARK PHOENIX. During a life-threatening rescue mission in space, Jean is hit by a cosmic force that transforms her into one of the most powerful mutants of all. Wrestling with this increasingly unstable power as well as her own personal demons, Jean spirals out of control, tearing the X-Men family apart and threatening to destroy the very fabric of our planet. The film is the most intense and emotional X-Men movie ever made. It is the culmination of 20 years of X-Men movies, as the family of mutants that we've come to know and love must face their most devastating enemy yet -- one of their own.","2019-06-22","Belleview, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Avengers: Endgame (2019)","PG-13","5","7:05p | 9:45p","Standard","Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply starts to dwindle. Meanwhile, the remaining Avengers -- Thor, Black Widow, Captain America and Bruce Banner -- must figure out a way to bring back their vanquished allies for an epic showdown with Thanos -- the evil demigod who decimated the planet and the universe.","2019-06-22","Belleview, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park","Men in Black: International","PG-13","3.5","3:10p | 9:00p","Digital 3D","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-23","High Springs, FL"
